name,url,description,language,stars,forks,stars_today,crawled_at
Guovin/TV,https://github.com/Guovin/TV,📺IPTV电视直播源更新工具🚀：包含💰央视(付费)、📡卫视、🏠广东、🌊港·澳·台、🎬电影、🎥咪咕、🏀体育、🪁动画、🎮游戏、🎵音乐、🏛经典剧场；支持自定义增加频道（含图标）；支持组播源、酒店源、订阅源、线上检索；每天自动更新两次，结果可用于TVBox等播放软件；支持工作流、Docker(amd64/arm64)、命令行、软件界面多种部署/运行方式 | IPTV live TV source update tool,Python,2826,704,0,2024-10-24 13:02:16
comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,54385,5757,0,2024-10-24 13:02:16
ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Download market data from Yahoo! Finance's API,Python,14027,2381,0,2024-10-24 13:02:16
infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,Python,20446,2022,0,2024-10-24 13:02:16
huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,133897,26783,0,2024-10-24 13:02:16
spack/spack,https://github.com/spack/spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers.",Python,4268,2263,0,2024-10-24 13:02:16
OpenInterpreter/open-interpreter,https://github.com/OpenInterpreter/open-interpreter,A natural language interface for computers,Python,52806,4676,0,2024-10-24 13:02:16
PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object tracking and real-time multi-person keypoint detection.",Python,12725,2877,0,2024-10-24 13:02:16
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut,Official implementation of DeepLabCut: Markerless pose estimation of user-defined features with deep learning for all animals incl. humans,Python,4611,1657,0,2024-10-24 13:02:16
phidatahq/phidata,https://github.com/phidatahq/phidata,"Build AI Agents with memory, knowledge, tools and reasoning. Chat with them using a beautiful Agent UI.",Python,13496,1898,0,2024-10-24 13:02:16
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)",Python,43671,7780,0,2024-10-24 13:02:16
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,Python,39041,5659,0,2024-10-24 13:02:16
InternLM/Tutorial,https://github.com/InternLM/Tutorial,LLM&VLM Tutorial,Python,1412,1038,0,2024-10-24 13:02:16
debezium/debezium,https://github.com/debezium/debezium,Change data capture for a variety of databases. Please log issues at https://issues.redhat.com/browse/DBZ.,Java,10568,2511,0,2024-10-24 13:02:21
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,Spring Boot,Java,74994,40655,0,2024-10-24 13:02:21
prestodb/presto,https://github.com/prestodb/presto,The official home of the Presto distributed SQL query engine for big data,Java,16013,5361,0,2024-10-24 13:02:21
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,Java,43996,3585,0,2024-10-24 13:02:21
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,Spring Framework,Java,56494,38102,0,2024-10-24 13:02:21
redisson/redisson,https://github.com/redisson/redisson,"Redisson - Easy Redis Java client and Real-Time Data Platform. Valkey compatible. Sync/Async/RxJava/Reactive API. Over 50 Redis or Valkey based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache...",Java,23304,5348,0,2024-10-24 13:02:21
questdb/questdb,https://github.com/questdb/questdb,QuestDB is an open source time-series database for fast ingest and SQL queries,Java,14488,1177,0,2024-10-24 13:02:21
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,Jenkins automation server,Java,23151,8742,0,2024-10-24 13:02:21
datahub-project/datahub,https://github.com/datahub-project/datahub,The Metadata Platform for your Data Stack,Java,9831,2898,0,2024-10-24 13:02:21
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,Hibernate's core Object/Relational Mapping functionality,Java,5963,3543,0,2024-10-24 13:02:21
gunnarmorling/1brc,https://github.com/gunnarmorling/1brc,1️⃣🐝🏎️ The One Billion Row Challenge -- A fun exploration of how quickly 1B rows from a text file can be aggregated with Java,Java,6202,1864,0,2024-10-24 13:02:21
apache/logging-log4j2,https://github.com/apache/logging-log4j2,"Apache Log4j 2 is a versatile, feature-rich, efficient logging API and backend for Java.",Java,3379,1611,0,2024-10-24 13:02:21
vespa-engine/vespa,https://github.com/vespa-engine/vespa,"AI + Data, online. https://vespa.ai",Java,5749,599,0,2024-10-24 13:02:21
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",Java,17445,5155,0,2024-10-24 13:02:21
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,All Algorithms implemented in Java,Java,59774,19305,0,2024-10-24 13:02:21
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,"Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container.",Java,8011,1648,0,2024-10-24 13:02:21
DataDog/dd-trace-java,https://github.com/DataDog/dd-trace-java,Datadog APM client for Java,Java,577,288,0,2024-10-24 13:02:21
PaperMC/Paper,https://github.com/PaperMC/Paper,"The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies",Java,9914,2292,0,2024-10-24 13:02:21
grpc/grpc-java,https://github.com/grpc/grpc-java,The Java gRPC implementation. HTTP/2 based RPC,Java,11420,3842,0,2024-10-24 13:02:21
eclipse-jdtls/eclipse.jdt.ls,https://github.com/eclipse-jdtls/eclipse.jdt.ls,Java language server,Java,1782,399,0,2024-10-24 13:02:21
apache/lucene,https://github.com/apache/lucene,Apache Lucene open-source search software,Java,2649,1028,0,2024-10-24 13:02:21
raphw/byte-buddy,https://github.com/raphw/byte-buddy,Runtime code generation for the Java virtual machine.,Java,6261,805,0,2024-10-24 13:02:21
redis/lettuce,https://github.com/redis/lettuce,"Advanced Java Redis client for thread-safe sync, async, and reactive usage. Supports Cluster, Sentinel, Pipelining, and codecs.",Java,5390,969,0,2024-10-24 13:02:21
jacoco/jacoco,https://github.com/jacoco/jacoco,🔬 Java Code Coverage Library,Java,4196,1147,0,2024-10-24 13:02:21
ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.",Go,94693,7496,0,2024-10-24 13:02:25
linkerd/linkerd2,https://github.com/linkerd/linkerd2,"Ultralight, security-first service mesh for Kubernetes. Main repo for Linkerd 2.x.",Go,10645,1277,0,2024-10-24 13:02:25
goharbor/harbor,https://github.com/goharbor/harbor,"An open source trusted cloud native registry project that stores, signs, and scans content.",Go,23986,4747,0,2024-10-24 13:02:25
kubernetes-sigs/kubebuilder,https://github.com/kubernetes-sigs/kubebuilder,Kubebuilder - SDK for building Kubernetes APIs using CRDs,Go,7858,1444,0,2024-10-24 13:02:25
grafana/k6,https://github.com/grafana/k6,"A modern load testing tool, using Go and JavaScript - https://k6.io",Go,25724,1265,0,2024-10-24 13:02:25
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,110634,39551,0,2024-10-24 13:02:25
aws/karpenter-provider-aws,https://github.com/aws/karpenter-provider-aws,"Karpenter is a Kubernetes Node Autoscaler built for flexibility, performance, and simplicity.",Go,6742,947,0,2024-10-24 13:02:25
open-telemetry/opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,OpenTelemetry Collector,Go,4383,1451,0,2024-10-24 13:02:25
go-kratos/kratos,https://github.com/go-kratos/kratos,Your ultimate Go microservices framework for the cloud-native era.,Go,23278,4004,0,2024-10-24 13:02:25
cilium/cilium,https://github.com/cilium/cilium,"eBPF-based Networking, Security, and Observability",Go,20077,2949,0,2024-10-24 13:02:25
fluxcd/flux2,https://github.com/fluxcd/flux2,Open and extensible continuous delivery solution for Kubernetes. Powered by GitOps Toolkit.,Go,6485,602,0,2024-10-24 13:02:25
daytonaio/daytona,https://github.com/daytonaio/daytona,The Open Source Dev Environment Manager.,Go,9115,799,0,2024-10-24 13:02:25
googleapis/google-cloud-go,https://github.com/googleapis/google-cloud-go,Google Cloud Client Libraries for Go.,Go,3750,1289,0,2024-10-24 13:02:25
OJ/gobuster,https://github.com/OJ/gobuster,"Directory/File, DNS and VHost busting tool written in Go",Go,9920,1190,0,2024-10-24 13:02:25
prometheus/node_exporter,https://github.com/prometheus/node_exporter,Exporter for machine metrics,Go,11128,2353,0,2024-10-24 13:02:25
knadh/listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,14971,1362,0,2024-10-24 13:02:25
gruntwork-io/terragrunt,https://github.com/gruntwork-io/terragrunt,Terragrunt is a flexible orchestration tool that allows Infrastructure as Code written in OpenTofu/Terraform to scale.,Go,8034,973,0,2024-10-24 13:02:25
stakater/Reloader,https://github.com/stakater/Reloader,"A Kubernetes controller to watch changes in ConfigMap and Secrets and do rolling upgrades on Pods with their associated Deployment, StatefulSet, DaemonSet and DeploymentConfig – [✩Star] if you're using it!",Go,7564,506,0,2024-10-24 13:02:25
authzed/spicedb,https://github.com/authzed/spicedb,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",Go,5053,271,0,2024-10-24 13:02:25
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,Open Source realtime backend in 1 file,Go,39863,1860,0,2024-10-24 13:02:25
hashicorp/terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,42589,9543,0,2024-10-24 13:02:25
pressly/goose,https://github.com/pressly/goose,A database migration tool. Supports SQL migrations and Go functions.,Go,6962,514,0,2024-10-24 13:02:25
opentofu/opentofu,https://github.com/opentofu/opentofu,OpenTofu lets you declaratively manage your cloud infrastructure.,Go,22976,884,0,2024-10-24 13:02:25
linera-io/linera-protocol,https://github.com/linera-io/linera-protocol,Main repository for the Linera protocol,Rust,1179,152,0,2024-10-24 13:02:28
astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,24018,692,0,2024-10-24 13:02:28
openobserve/openobserve,https://github.com/openobserve/openobserve,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance, 🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay).",Rust,12475,452,0,2024-10-24 13:02:28
gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,12852,512,0,2024-10-24 13:02:28
mullvad/mullvadvpn-app,https://github.com/mullvad/mullvadvpn-app,The Mullvad VPN client app for desktop and mobile,Rust,5017,337,0,2024-10-24 13:02:28
jdx/mise,https://github.com/jdx/mise,"dev tools, env vars, task runner",Rust,9725,278,0,2024-10-24 13:02:28
qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,20279,1384,0,2024-10-24 13:02:28
Amjad50/plastic,https://github.com/Amjad50/plastic,NES emulator in rust with egui and TUI,Rust,321,13,0,2024-10-24 13:02:28
bottlerocket-os/bottlerocket,https://github.com/bottlerocket-os/bottlerocket,An operating system designed for hosting containers,Rust,8705,512,0,2024-10-24 13:02:28
GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,8968,308,0,2024-10-24 13:02:28
alloy-rs/alloy,https://github.com/alloy-rs/alloy,"Transports, Middleware, and Networks for the Alloy project",Rust,623,224,0,2024-10-24 13:02:28
rustls/rustls,https://github.com/rustls/rustls,A modern TLS library in Rust,Rust,6054,641,0,2024-10-24 13:02:28
tokio-rs/tokio,https://github.com/tokio-rs/tokio,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",Rust,26814,2471,0,2024-10-24 13:02:28
aptos-labs/aptos-core,https://github.com/aptos-labs/aptos-core,Aptos is a layer 1 blockchain built to support the widespread use of blockchain through better technology and user experience.,Rust,6174,3638,0,2024-10-24 13:02:28
lapce/lapce,https://github.com/lapce/lapce,Lightning-fast and Powerful Code Editor written in Rust,Rust,34404,1028,0,2024-10-24 13:02:28
slint-ui/slint,https://github.com/slint-ui/slint,"Slint is a declarative GUI toolkit to build native user interfaces for Rust, C++, or JavaScript apps.",Rust,17342,586,0,2024-10-24 13:02:28
vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,26254,1813,0,2024-10-24 13:02:28
foundry-rs/foundry,https://github.com/foundry-rs/foundry,"Foundry is a blazing fast, portable and modular toolkit for Ethereum application development written in Rust.",Rust,8248,1733,0,2024-10-24 13:02:28
WithSecureLabs/chainsaw,https://github.com/WithSecureLabs/chainsaw,Rapidly Search and Hunt through Windows Forensic Artefacts,Rust,2811,258,0,2024-10-24 13:02:28
EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,Blazingly fast LLM inference.,Rust,4288,299,0,2024-10-24 13:02:28
postgresml/pgcat,https://github.com/postgresml/pgcat,"PostgreSQL pooler with sharding, load balancing and failover support.",Rust,3020,182,0,2024-10-24 13:02:28
Wilfred/difftastic,https://github.com/Wilfred/difftastic,a structural diff that understands syntax 🟥🟩,Rust,20745,340,0,2024-10-24 13:02:28
lancedb/lance,https://github.com/lancedb/lance,"Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, with more integrations coming..",Rust,3895,215,0,2024-10-24 13:02:28
chiteroman/PlayIntegrityFix,https://github.com/chiteroman/PlayIntegrityFix,Fix Play Integrity (and SafetyNet) verdicts.,C++,4933,262,0,2024-10-24 13:02:32
microsoft/STL,https://github.com/microsoft/STL,MSVC's implementation of the C++ Standard Library.,C++,10117,1495,0,2024-10-24 13:02:32
google/libphonenumber,https://github.com/google/libphonenumber,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",C++,16609,2058,0,2024-10-24 13:02:32
facebook/folly,https://github.com/facebook/folly,An open-source C++ library developed and used at Facebook.,C++,28329,5561,0,2024-10-24 13:02:32
open-source-parsers/jsoncpp,https://github.com/open-source-parsers/jsoncpp,A C++ library for interacting with JSON.,C++,8136,2641,0,2024-10-24 13:02:32
CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,10582,4163,0,2024-10-24 13:02:32
barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,Android real-time display control software,C++,19382,2578,0,2024-10-24 13:02:32
hiyohiyo/CrystalDiskInfo,https://github.com/hiyohiyo/CrystalDiskInfo,CrystalDiskInfo,C++,1750,192,0,2024-10-24 13:02:32
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics DBMS,C++,37315,6873,0,2024-10-24 13:02:32
ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,14092,6007,0,2024-10-24 13:02:32
catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,18612,3051,0,2024-10-24 13:02:32
NVIDIA/TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,C++,8489,962,0,2024-10-24 13:02:32
google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,34647,10125,0,2024-10-24 13:02:32
fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,20674,2482,0,2024-10-24 13:02:32
facebook/react-native,https://github.com/facebook/react-native,A framework for building native applications using React,C++,118835,24294,0,2024-10-24 13:02:32
Tencent/MMKV,https://github.com/Tencent/MMKV,"An efficient, small mobile key-value storage framework developed by WeChat. Works on Android, iOS, macOS, Windows, and POSIX.",C++,17365,1905,0,2024-10-24 13:02:32
microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,95404,8297,0,2024-10-24 13:02:32
dmlc/xgboost,https://github.com/dmlc/xgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",C++,26220,8718,0,2024-10-24 13:02:32
capnproto/capnproto,https://github.com/capnproto/capnproto,Cap'n Proto serialization/RPC system - core tools and C++ library,C++,11640,927,0,2024-10-24 13:02:32
UZ-SLAMLab/ORB_SLAM3,https://github.com/UZ-SLAMLab/ORB_SLAM3,"ORB-SLAM3: An Accurate Open-Source Library for Visual, Visual-Inertial and Multi-Map SLAM",C++,6535,2551,0,2024-10-24 13:02:32
scylladb/scylladb,https://github.com/scylladb/scylladb,"NoSQL data store using the seastar framework, compatible with Apache Cassandra",C++,13479,1277,0,2024-10-24 13:02:32
google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,23258,3244,0,2024-10-24 13:02:32
Neargye/magic_enum,https://github.com/Neargye/magic_enum,"Static reflection for enums (to string, from string, iteration) for modern C++, work with any enum type without any macro or boilerplate code",C++,4888,436,0,2024-10-24 13:02:32
BehaviorTree/BehaviorTree.CPP,https://github.com/BehaviorTree/BehaviorTree.CPP,Behavior Trees Library in C++. Batteries included.,C++,2984,656,0,2024-10-24 13:02:32
